name,type,capacity_mw,operator,state,osm_id,lng,lat
Unnamed Solar Plant,solar,0,Unknown,Haryana,way/1002718695,74.8055321,29.5633608
Unnamed Solar Plant,solar,0,Unknown,Uttar Pradesh,way/1002960621,78.5200301,25.3197515
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1002960622,76.4026688,25.0957319
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962842,77.8697835,29.8025924
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962843,77.9834372,29.7645147
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962844,77.9267509,29.7614086
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962845,77.9450825,29.7462192
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962846,78.0015618,29.6317533
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962847,78.0019748,29.6245927
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962848,77.9968089,29.6233289
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962849,79.1973992,29.3141288
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1002962850,79.4638994,28.9891499
Unnamed Solar Plant,solar,0,Unknown,Punjab,way/1003037865,74.4020824,30.4228741
Unnamed Solar Plant,solar,0,Unknown,Punjab,way/1003037866,75.0163289,30.1334896
Unnamed Solar Plant,solar,0,Unknown,Punjab,way/1003037867,75.819043,29.8268574
Unnamed Solar Plant,solar,0,Unknown,Haryana,way/1003037868,76.8616283,29.3875364
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037869,77.7298768,30.4528958
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037870,77.7346652,30.4571351
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037871,77.7300324,30.4551126
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037872,77.801814,30.5073442
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037873,77.7964559,30.5078133
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037874,77.8715484,29.9103298
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037875,77.8708993,29.7754638
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1003037876,77.8577083,29.7703739
Unnamed Solar Plant,solar,0,Unknown,Delhi,way/1003041200,77.2505265,28.6235533
Unnamed Solar Plant,solar,0,Unknown,Madhya Pradesh,way/1003080700,80.9519353,24.5604852
Unnamed Solar Plant,solar,0,Unknown,Madhya Pradesh,way/1003080701,80.8592543,24.5844049
Unnamed Solar Plant,solar,0,Unknown,Madhya Pradesh,way/1003080702,78.1755191,24.2499946
Unnamed Solar Plant,solar,0,Unknown,Bihar,way/1003080703,86.9911285,24.8124685
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080704,88.40253,22.8700414
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080705,88.3241737,26.469469
Unnamed Solar Plant,solar,0,Unknown,Bihar,way/1003080706,84.4958429,27.2662399
Unnamed Solar Plant,solar,0,Unknown,Bihar,way/1003080707,84.2966688,27.1264142
Unnamed Solar Plant,solar,0,Unknown,Uttar Pradesh,way/1003080714,77.4788142,28.5253327
Unnamed Solar Plant,solar,0,Unknown,Haryana,way/1003080716,77.1438246,28.9691814
Unnamed Solar Plant,solar,0,Unknown,Haryana,way/1003080717,76.218294,28.3625859
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080718,74.2134726,18.4824633
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003080719,79.1024017,18.8243728
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080720,76.7676242,18.7173392
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080721,76.3925717,18.926693
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080722,75.696254,18.4783472
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080723,74.811927,18.8392893
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080725,74.2444749,19.8013664
Unnamed Solar Plant,solar,0,Unknown,Dadra and Nagar Haveli,way/1003080727,72.9847272,20.1342183
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080732,74.7545009,20.843238
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080733,76.4425707,19.6527069
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080734,78.1516836,20.1546918
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003080735,78.6367216,20.1308084
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080736,87.1775191,22.3467442
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080738,87.3573374,22.3690198
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080739,87.3549248,22.369083
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080740,87.3085963,22.532824
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080741,87.4317473,23.5416468
Unnamed Solar Plant,solar,0,Unknown,West Bengal,way/1003080742,87.1251494,23.5647001
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003080747,69.9787607,23.2568608
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003080748,68.7754333,23.6616486
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003080749,72.4072261,24.6549692
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003080750,74.613449,25.1279473
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003080751,74.6112978,25.1262499
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003080758,75.6613492,26.6547811
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003080759,73.2062133,28.0578942
Unnamed Solar Plant,solar,0,Unknown,Haryana,way/1003080762,76.8608732,28.2975521
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003091493,77.5005707,16.288766
