COMPLETE LIST OF POWER PLANTS IN INDIA (3801 Total)
================================================================================


--- ANDAMAN AND NICOBAR ---
164. Jaggayyapeta Solar Plant | Type: solar | Capacity: 0 MW
165. Jaipur mandal Solar Plant | Type: solar | Capacity: 0 MW
166. Jajireddigudem mandal Solar Plant | Type: solar | Capacity: 0 MW
167. Jangoan mandal Solar Plant | Type: solar | Capacity: 0 MW
168. Jangoan mandal Solar Plant | Type: solar | Capacity: 0 MW
169. Jeedigadda Thanda | Type: solar | Capacity: 0 MW
170. Jeedimetla | Type: solar | Capacity: 10.0 MW
171. Jegurupadu Combined Cycle Power Plant | Type: gas | Capacity: 445.0 MW
172. Jharasangam mandal Solar Plant | Type: solar | Capacity: 0 MW
173. Jharasangam mandal Solar Plant | Type: solar | Capacity: 0 MW
174. Jharasangam mandal Solar Plant | Type: solar | Capacity: 0 MW
175. Jurala | Type: hydro | Capacity: 234.0 MW
176. Kadapa Solar Plant | Type: solar | Capacity: 0 MW
177. Kadapa Ultra Mega Solar Park | Type: solar | Capacity: 250.0 MW
178. Kajipuram | Type: solar | Capacity: 0 MW
179. Kakarani | Type: solar | Capacity: 115.0 MW
180. Kakatiya Thermal Power Station | Type: coal | Capacity: 1100.0 MW
181. Kakinada (Rural) Coal Plant | Type: coal | Capacity: 0 MW
182. Kakkireni Adani | Type: solar | Capacity: 50.0 MW
183. Kalipi | Type: solar | Capacity: 40.0 MW
184. Kallur Solar Plant | Type: solar | Capacity: 0 MW
185. Kalwakurthy Haldiram | Type: solar | Capacity: 10.0 MW
186. Kalwakurthy mandal Solar Plant | Type: solar | Capacity: 0 MW
187. Kalwakurthy mandal Solar Plant | Type: solar | Capacity: 0 MW
188. Kamalapuram Solar Plant | Type: solar | Capacity: 0 MW
189. Kamalapuram Wind Plant | Type: wind | Capacity: 0 MW
190. Kamanpur mandal Solar Plant | Type: solar | Capacity: 0 MW
191. Kamanpur mandal Solar Plant | Type: solar | Capacity: 0 MW
192. Kamanpur mandal Solar Plant | Type: solar | Capacity: 0 MW
193. Kamareddy Mytrah | Type: solar | Capacity: 50.0 MW
194. Kamareddy mandal Solar Plant | Type: solar | Capacity: 0 MW
195. Kamareddy mandal Solar Plant | Type: solar | Capacity: 0 MW
196. Kambadur | Type: solar | Capacity: 11.0 MW
197. Kambhamvaripalle Solar Plant | Type: solar | Capacity: 0 MW
198. Kandagatla Keerthi | Type: solar | Capacity: 8.0 MW
199. Kandi mandal Solar Plant | Type: solar | Capacity: 0 MW
200. Kandukur mandal Solar Plant | Type: solar | Capacity: 0 MW
201. Kankipadu Solar Plant | Type: solar | Capacity: 0 MW
202. Kasipet mandal Solar Plant | Type: solar | Capacity: 0 MW
203. Kattangur mandal Solar Plant | Type: solar | Capacity: 0 MW
204. Kodakandla mandal Solar Plant | Type: solar | Capacity: 0 MW
205. Kodakandla mandal Solar Plant | Type: solar | Capacity: 0 MW
206. Kodakandla mandal Solar Plant | Type: solar | Capacity: 0 MW
207. Kodakandla mandal Solar Plant | Type: solar | Capacity: 0 MW
208. Kodakandla mandal Solar Plant | Type: solar | Capacity: 0 MW
209. Kodumur Solar Plant | Type: solar | Capacity: 0 MW
210. Kolanpaka | Type: solar | Capacity: 6.0 MW
211. Kolimigundla Solar Plant | Type: solar | Capacity: 0 MW
212. Kolimigundla Solar Plant | Type: solar | Capacity: 0 MW
213. Konaraopet mandal Unknown Plant | Type: unknown | Capacity: 0 MW
214. Konaseema Power Plant | Type: gas | Capacity: 445.0 MW
215. Kondapuram Solar Plant | Type: solar | Capacity: 0 MW
216. Korampalle | Type: solar | Capacity: 0 MW
217. Korukonda Solar Plant | Type: solar | Capacity: 0 MW
218. Kosgi mandal Solar Plant | Type: solar | Capacity: 0 MW
219. Kotagulla | Type: solar | Capacity: 10.0 MW
220. Kothagudem Thermal Power Station | Type: coal | Capacity: 1800.0 MW
221. Kothavalasa Coal Plant | Type: coal | Capacity: 0 MW
222. Kovvur Solar Plant | Type: solar | Capacity: 3.0 MW
223. Kowdipally mandal Solar Plant | Type: solar | Capacity: 0 MW
224. Kumara Venkata Bhupalapuram Solar Plant | Type: solar | Capacity: 0 MW
225. Kuravapalli | Type: solar | Capacity: 10.0 MW
226. Kurmapally Gk | Type: solar | Capacity: 48.0 MW
227. Kurnool Solar Plant | Type: solar | Capacity: 0 MW
228. Kurnool Ultra Mega Solar Park | Type: solar | Capacity: 1000.0 MW
229. Kusumanchi mandal Hydro Plant | Type: hydro | Capacity: 0 MW
230. Lanco Kondapalli Power Plant | Type: gas | Capacity: 1476.0 MW
231. Laxmi Palle | Type: solar | Capacity: 0 MW
232. Lingampalle | Type: solar | Capacity: 0 MW
233. Lingampet Acme | Type: solar | Capacity: 15.0 MW
234. Lingapuram Suzlon | Type: solar | Capacity: 15.0 MW
235. Lomada | Type: solar | Capacity: 30.0 MW
236. Lower Jurala hydro power plant | Type: hydro | Capacity: 240.0 MW
237. Lower Sileru Power House | Type: hydro | Capacity: 460.0 MW
238. Machareddy mandal Solar Plant | Type: solar | Capacity: 0 MW
239. Machareddy mandal Solar Plant | Type: solar | Capacity: 0 MW
240. Madanapur mandal Solar Plant | Type: solar | Capacity: 0 MW
241. Maddur mandal Solar Plant | Type: solar | Capacity: 0 MW
242. Madgul mandal Solar Plant | Type: solar | Capacity: 0 MW
243. Madhugiri taluk Solar Plant | Type: solar | Capacity: 0 MW
244. Madhugiri taluk Solar Plant | Type: solar | Capacity: 0 MW
245. Madugulapally mandal Solar Plant | Type: solar | Capacity: 0 MW
246. Mahabubnagar Solar Park | Type: solar | Capacity: 20.0 MW
247. Makhtal | Type: solar | Capacity: 10.0 MW
248. Makloor mandal Hydro Plant | Type: hydro | Capacity: 0 MW
249. Mallemoniguda | Type: solar | Capacity: 0 MW
250. Mamidikuduru Solar Plant | Type: solar | Capacity: 0 MW
251. Manakondur mandal Solar Plant | Type: solar | Capacity: 0 MW
252. Mandamarri mandal Solar Plant | Type: solar | Capacity: 0 MW
253. Mandamarri mandal Solar Plant | Type: solar | Capacity: 0 MW
254. Mandamarri mandal Solar Plant | Type: solar | Capacity: 0 MW
255. Mandamarri mandal Solar Plant | Type: solar | Capacity: 0 MW
256. Mandamarri mandal Solar Plant | Type: solar | Capacity: 0 MW
257. Manoor mandal Solar Plant | Type: solar | Capacity: 0 MW
258. Manthani mandal Solar Plant | Type: solar | Capacity: 0 MW
259. Manthani mandal Solar Plant | Type: solar | Capacity: 0 MW
260. Manuguru mandal Solar Plant | Type: solar | Capacity: 0 MW
261. Manuguru mandal Solar Plant | Type: solar | Capacity: 0 MW
262. Marpalle mandal Solar Plant | Type: solar | Capacity: 0 MW
263. Marriguda mandal Solar Plant | Type: solar | Capacity: 0 MW
264. Marriguda mandal Solar Plant | Type: solar | Capacity: 0 MW
265. Marripudi Solar Plant | Type: solar | Capacity: 0 MW
266. Mattampalli mandal Hydro Plant | Type: hydro | Capacity: 0 MW
267. Medak Rays | Type: solar | Capacity: 5.0 MW
268. Medak Solar Plant | Type: solar | Capacity: 0 MW
269. Medak mandal Solar Plant | Type: solar | Capacity: 0 MW
270. Medchal mandal Solar Plant | Type: solar | Capacity: 0 MW
271. Meenakshi Thamminapatnam Thermal Power Plant | Type: coal | Capacity: 1000.0 MW
272. Megha Solar Plant | Type: solar | Capacity: 0 MW
273. Mellachervu mandal Coal Plant | Type: coal | Capacity: 0 MW
274. Metpalli mandal Solar Plant | Type: solar | Capacity: 0 MW
275. Midjil mandal Solar Plant | Type: solar | Capacity: 0 MW
276. Midjil mandal Solar Plant | Type: solar | Capacity: 0 MW
277. Midjil mandal Solar Plant | Type: solar | Capacity: 0 MW
278. Mogudampally mandal Solar Plant | Type: solar | Capacity: 0 MW
279. Mominpet mandal Solar Plant | Type: solar | Capacity: 0 MW
280. Mominpet mandal Solar Plant | Type: solar | Capacity: 0 MW
